Manufacturer,Model,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Car Age
LEXUS,RX 450,Hybrid,3.5,186005.0,6.0,Automatic,4x4,15
CHEVROLET,Equinox,Petrol,3,192000.0,6.0,Tiptronic,4x4,14
HONDA,FIT,Petrol,1.3,200000.0,4.0,Variator,Front,19
FORD,Escape,Hybrid,2.5,168966.0,4.0,Automatic,4x4,14
HONDA,FIT,Petrol,1.3,91901.0,4.0,Automatic,Front,11
HYUNDAI,Santa FE,Diesel,2,160931.0,4.0,Automatic,Front,9
TOYOTA,Prius,Hybrid,1.8,258909.0,4.0,Automatic,Front,15
HYUNDAI,Sonata,Petrol,2.4,216118.0,4.0,Automatic,Front,12
TOYOTA,Camry,Hybrid,2.5,398069.0,4.0,Automatic,Front,11
LEXUS,RX 350,Petrol,3.5,128500.0,6.0,Automatic,4x4,18
MERCEDES-BENZ,E 350,Diesel,3.5,184467.0,6.0,Automatic,Rear,11
FORD,Transit,CNG,4,0.0,8.0,Manual,Rear,26
OPEL,Vectra,CNG,1.6,350000.0,4.0,Manual,Front,28
LEXUS,RX 450,Hybrid,3.5,138038.0,6.0,Automatic,Front,12
HYUNDAI,Santa FE,Diesel,2,76000.0,4.0,Automatic,Front,9
TOYOTA,CHR,Petrol,2,74146.0,4.0,Automatic,Front,7
HYUNDAI,Elantra,Petrol,1.8,121840.0,4.0,Automatic,Front,9
HYUNDAI,Elantra,Petrol,1.8,54317.0,4.0,Automatic,Front,9
HYUNDAI,Sonata,Petrol,3.3,295059.0,6.0,Automatic,Rear,19
LEXUS,RX 400,Hybrid,3.5,364523.0,6.0,Automatic,4x4,17
HYUNDAI,Elantra,Petrol,1.6,112645.0,4.0,Automatic,Front,13
TOYOTA,Prius,Plug-in Hybrid,1.8,187000.0,4.0,Automatic,Front,13
TOYOTA,Camry,Petrol,2.5,39709.0,4.0,Automatic,Front,8
FORD,Transit,Diesel,2.0 Turbo,230000.0,4.0,Manual,Front,24
OPEL,Vectra,Petrol,1.8,0.0,4.0,Automatic,Front,30
MERCEDES-BENZ,E 220,Diesel,2.2 Turbo,210000.0,4.0,Tiptronic,Rear,19
LEXUS,GX 470,Petrol,4.7,0.0,8.0,Automatic,4x4,17
HYUNDAI,Elantra,Petrol,1.6,158787.0,4.0,Automatic,Front,14
TOYOTA,Highlander,Hybrid,3.3,420550.0,6.0,Automatic,4x4,16
MERCEDES-BENZ,Vito,Diesel,2.0 Turbo,180000.0,6.0,Manual,Rear,18
PORSCHE,Cayenne,Diesel,3,175056.0,6.0,Automatic,4x4,11
BMW,X5,CNG,4.4,200000.0,8.0,Automatic,4x4,25
TOYOTA,Highlander,Hybrid,3.3,287274.0,6.0,Automatic,4x4,17
